hlpi_name,year,hlpi,nzhec,nzhec_name,nzhec_short,level,weight,nzhec1,nzhec1_name,nzhec1_short,exp_pw,eqv_exp_pw
All households,2014,allhh,10.1,Early childhood education,Early childhood education,subgroup,0.3,10,Education,Education,2.84,1.71
All households,2014,allhh,10.2,Primary and secondary education,Primary/secondary education,subgroup,0.4,10,Education,Education,3.78,2.28
All households,2014,allhh,10.3,Tertiary and other post school education,Tertiary education,subgroup,0.5,10,Education,Education,4.73,2.85
All households,2014,allhh,10.4,Other educational fees,Other education,subgroup,0.1,10,Education,Education,0.95,0.57
All households,2014,allhh,11,Miscellaneous goods and services,Miscellaneous,group,9.3,11,Miscellaneous goods and services,Miscellaneous,87.98,52.94
All households,2014,allhh,11.1,Personal care,Personal care,subgroup,2.2,11,Miscellaneous goods and services,Miscellaneous,20.81,12.52
All households,2014,allhh,11.3,Personal effects,Personal effects,subgroup,0.3,11,Miscellaneous goods and services,Miscellaneous,2.84,1.71
All households,2014,allhh,11.4,Insurance,Insurance,subgroup,5.6,11,Miscellaneous goods and services,Miscellaneous,52.98,31.88
All households,2014,allhh,11.5,Credit services,Credit services,subgroup,0.4,11,Miscellaneous goods and services,Miscellaneous,3.78,2.28
All households,2014,allhh,11.6,Other miscellaneous services,Miscellaneous services,subgroup,0.8,11,Miscellaneous goods and services,Miscellaneous,7.57,4.55
All households,2014,allhh,13,Other expenditure,Interest,group,5.8,13,Other expenditure,Interest,54.87,33.02
All households,2014,allhh,13.1,Interest payments,Interest,subgroup,5.8,13,Other expenditure,Interest,54.87,33.02
All households,2017.4,allhh,1,Food,Food,group,19.9,1,Food,Food,213.6,124.5
All households,2017.4,allhh,1.1,Fruit and vegetables,Fruit & veg,subgroup,3.3,1,Food,Food,35.1,20.5
All households,2017.4,allhh,1.2,"Meat, poultry and fish",Meat,subgroup,3.1,1,Food,Food,33,19.2
All households,2017.4,allhh,1.3,Grocery food,Grocery food,subgroup,7.2,1,Food,Food,77.5,45.2
All households,2017.4,allhh,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1.9,1,Food,Food,20.2,11.8
All households,2017.4,allhh,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,4.5,1,Food,Food,47.8,27.8
All households,2017.4,allhh,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,6.2,2,Alcoholic beverages and tobacco,Alcohol and tobacco,66.6,38.8
All households,2017.4,allhh,2.1,Alcoholic beverages,Alcohol,subgroup,3.7,2,Alcoholic beverages and tobacco,Alcohol and tobacco,39.9,23.3
All households,2017.4,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2.5,2,Alcoholic beverages and tobacco,Alcohol and tobacco,26.6,15.5
All households,2017.4,allhh,3,Clothing and footwear,Clothing and footwear,group,3.1,3,Clothing and footwear,Clothing and footwear,33.4,19.5
All households,2017.4,allhh,3.1,Clothing,Clothing,subgroup,2.6,3,Clothing and footwear,Clothing and footwear,27.5,16
All households,2017.4,allhh,3.2,Footwear,Footwear,subgroup,0.6,3,Clothing and footwear,Clothing and footwear,6,3.5
All households,2017.4,allhh,4,Housing and household utilities,Housing,group,22.8,4,Housing and household utilities,Housing,245.1,142.8
All households,2017.4,allhh,4.1,Actual rentals for housing,Rent,subgroup,11.1,4,Housing and household utilities,Housing,119.2,69.5
All households,2017.4,allhh,4.3,Property maintenance,Property maintenance,subgroup,1.5,4,Housing and household utilities,Housing,16.3,9.5
All households,2017.4,allhh,4.4,Property rates and related services,Property rates,subgroup,4.7,4,Housing and household utilities,Housing,50.7,29.6
All households,2017.4,allhh,4.5,Household energy,Household energy,subgroup,5.5,4,Housing and household utilities,Housing,58.9,34.3
All households,2017.4,allhh,5,Household contents and services,Contents and services,group,4,5,Household contents and services,Contents and services,43.3,25.3
All households,2017.4,allhh,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,0.9,5,Household contents and services,Contents and services,10,5.8
All households,2017.4,allhh,5.2,Household textiles,Textiles,subgroup,0.4,5,Household contents and services,Contents and services,4.2,2.5
All households,2017.4,allhh,5.3,Household appliances,Appliances,subgroup,0.8,5,Household contents and services,Contents and services,9,5.2
All households,2017.4,allhh,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,0.3,5,Household contents and services,Contents and services,3.5,2
All households,2017.4,allhh,5.5,Tools and equipment for house and garden,Tools,subgroup,0.6,5,Household contents and services,Contents and services,6.2,3.6
All households,2017.4,allhh,5.6,Other household supplies and services,Other supplies and services,subgroup,1,5,Household contents and services,Contents and services,10.5,6.1
All households,2017.4,allhh,6,Health,Health,group,3.2,6,Health,Health,34.5,20.1
All households,2017.4,allhh,6.1,"Medical products, appliances and equipment",Medical products,subgroup,1.2,6,Health,Health,12.8,7.4
All households,2017.4,allhh,6.2,Out-patient services,Out-patient services,subgroup,1.9,6,Health,Health,20.1,11.7
All households,2017.4,allhh,6.3,Hospital services,Hospital services,subgroup,0.1,6,Health,Health,1.5,0.9
All households,2017.4,allhh,7,Transport,Transport,group,12.3,7,Transport,Transport,132.2,77
All households,2017.4,allhh,7.1,Purchase of vehicles,Vehicles,subgroup,3.2,7,Transport,Transport,33.8,19.7
All households,2017.4,allhh,7.2,Private transport supplies and services,Private transport supplies,subgroup,6.7,7,Transport,Transport,71.4,41.6
All households,2017.4,allhh,7.3,Passenger transport services,Passenger transport,subgroup,2.5,7,Transport,Transport,27,15.7
All households,2017.4,allhh,8,Communication,Communication,group,3.6,8,Communication,Communication,38.9,22.7
All households,2017.4,allhh,8.1,Postal services,Postal services,subgroup,0.1,8,Communication,Communication,1.2,0.7
All households,2017.4,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,0.4,8,Communication,Communication,4.6,2.7
All households,2017.4,allhh,8.3,Telecommunication services,Telecommunication services,subgroup,3.1,8,Communication,Communication,33.1,19.3
All households,2017.4,allhh,9,Recreation and culture,Recreation and culture,group,8.2,9,Recreation and culture,Recreation and culture,88.1,51.3
All households,2017.4,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,0.9,9,Recreation and culture,Recreation and culture,9.8,5.7
All households,2017.4,allhh,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,0.2,9,Recreation and culture,Recreation and culture,2.1,1.2
All households,2017.4,allhh,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,2.1,9,Recreation and culture,Recreation and culture,22.1,12.9
All households,2017.4,allhh,9.4,Recreational and cultural services,Rec & cultural services,subgroup,2.6,9,Recreation and culture,Recreation and culture,28,16.3
All households,2017.4,allhh,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,1.1,9,Recreation and culture,Recreation and culture,11.8,6.9
All households,2017.4,allhh,9.6,Accommodation services,Accomodation,subgroup,1.3,9,Recreation and culture,Recreation and culture,14.3,8.4
All households,2017.4,allhh,10,Education,Education,group,1.3,10,Education,Education,14.1,8.2
All households,2017.4,allhh,10.1,Early childhood education,Early childhood education,subgroup,0.3,10,Education,Education,3.2,1.9
All households,2017.4,allhh,10.2,Primary and secondary education,Primary/secondary education,subgroup,0.4,10,Education,Education,3.8,2.2
All households,2017.4,allhh,10.3,Tertiary and other post school education,Tertiary education,subgroup,0.6,10,Education,Education,6.8,4
All households,2017.4,allhh,10.4,Other educational fees,Other education,subgroup,0,10,Education,Education,0.4,0.2
All households,2017.4,allhh,11,Miscellaneous goods and services,Miscellaneous,group,9.4,11,Miscellaneous goods and services,Miscellaneous,100.4,58.5
All households,2017.4,allhh,11.1,Personal care,Personal care,subgroup,2.3,11,Miscellaneous goods and services,Miscellaneous,24.6,14.3
All households,2017.4,allhh,11.3,Personal effects,Personal effects,subgroup,0.4,11,Miscellaneous goods and services,Miscellaneous,4.6,2.7
All households,2017.4,allhh,11.4,Insurance,Insurance,subgroup,5.7,11,Miscellaneous goods and services,Miscellaneous,61.5,35.8
All households,2017.4,allhh,11.5,Credit services,Credit services,subgroup,0.2,11,Miscellaneous goods and services,Miscellaneous,2.6,1.5
All households,2017.4,allhh,11.6,Other miscellaneous services,Miscellaneous services,subgroup,0.7,11,Miscellaneous goods and services,Miscellaneous,7.1,4.1
All households,2017.4,allhh,13,Other expenditure,Interest,group,5.9,13,Other expenditure,Interest,63,36.7
All households,2017.4,allhh,13.1,Interest payments,Interest,subgroup,5.9,13,Other expenditure,Interest,63,36.7
Beneficiary,2008,benef,1,Food,Food,group,18.2,1,Food,Food,88.2,55.23
Beneficiary,2008,benef,1.1,Fruit and vegetables,Fruit & veg,subgroup,2.5,1,Food,Food,12.12,7.59
Beneficiary,2008,benef,1.2,"Meat, poultry and fish",Meat,subgroup,3.9,1,Food,Food,18.9,11.84
Beneficiary,2008,benef,1.3,Grocery food,Grocery food,subgroup,8.2,1,Food,Food,39.74,24.88
Beneficiary,2008,benef,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1.7,1,Food,Food,8.24,5.16
Beneficiary,2008,benef,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1.9,1,Food,Food,9.21,5.77
